price_per_month,county,space_type,months_since_listed,min_size_sqft,years_since_built
783.0,Utah County,Office,2,522,38.0
2356.3799999999997,Utah County,Office,2,2014,38.0
2052.0,Utah County,Office,1,1425,37.0
3513.0,Utah County,Office,0,2342,24.0
2907.0,Utah County,Industrial,0,1710,6.0
2380.0,Utah County,Industrial,0,1400,6.0
3160.0,Utah County,Office,0,1580,6.0
6333.679999999999,Utah County,Office,0,3862,23.0
6841.6,Utah County,Industrial,1,4276,-1.0
3782.4,Utah County,Industrial,1,2364,-1.0
3654.4,Utah County,Industrial,1,2284,-1.0
3611.2000000000003,Utah County,Industrial,1,2257,-1.0
8393.6,Utah County,Industrial,1,5246,-1.0
3670.4,Utah County,Industrial,1,2294,-1.0
3660.8,Utah County,Industrial,1,2288,-1.0
6588.8,Utah County,Industrial,1,4118,-1.0
30000.0,Utah County,Retail,1,30000,28.0
2045.75,Utah County,Retail,2,1169,25.0
18780.649999999998,Utah County,Industrial,2,16331,13.0
6500.0,Utah County,Industrial,3,5000,9.0
4946.8,Utah County,Industrial,3,3320,16.0
4676.8,Utah County,Office,4,2960,19.0
2505.0,Utah County,Retail,1,1500,28.0
12043.5,Salt Lake County,Industrial,2,11470,7.0
6357.5,Salt Lake County,Industrial,5,5086,18.0
5218.75,Salt Lake County,Industrial,5,4175,3.0
7001.28,Salt Lake County,Industrial,8,6864,5.0
1657.6,Davis County,Office/Retail,8,1184,19.0
1959.9999999999998,Davis County,Office/Retail,8,1400,19.0
2586.88,Davis County,Office/Medical,8,1504,19.0
1792.9999999999998,Davis County,Office,1,1100,24.0
413.0,Davis County,Office,2,295,61.0
8120.0,Davis County,Office,12,4640,15.0
5095.5,Davis County,Office,4,3225,17.0
8750.0,Davis County,Retail,7,7000,51.0
1440.0,Box Elder County,Office/Retail,17,1200,54.0
5545.0,Iron County,Retail,0,2218,46.0
811.2,Iron County,Office,1,780,79.0
877.76,Iron County,Office,1,844,79.0
4000.0,Iron County,Retail,2,3200,62.0
1350.0,Iron County,Retail,4,1000,18.0
2332.0,Iron County,Retail,5,2332,71.0
2116.0,Iron County,Retail,6,920,-1.0
2267.7999999999997,Iron County,Retail,6,986,-1.0
2083.7999999999997,Iron County,Retail,6,906,-1.0
6180.0,Iron County,Retail,6,2060,-1.0
3450.0,Iron County,Retail,6,1150,-1.0
2521.8,Iron County,Retail,6,934,-1.0
3245.4,Iron County,Retail,6,1202,-1.0
2556.9,Iron County,Retail,6,947,-1.0
6457.5,Iron County,Flex,6,6150,16.0
1369.5,Iron County,Office,0,1245,27.0
729.3000000000001,Iron County,Retail,0,663,27.0
4598.4,Davis County,Office,1,2395,24.0
2102.4,Davis County,Office,1,1440,26.0
3978.75,Davis County,Retail,1,3183,13.0
1440.0,Davis County,Flex,2,1200,18.0
11994.52,Davis County,Retail,6,19346,24.0
4608.74,Davis County,Retail,3,1978,74.0
6360.900000000001,Davis County,Office/Medical,11,2730,0.0
8252.86,Davis County,Office/Medical,11,3542,0.0
3253.8,Salt Lake County,Office,4,1595,43.0
8665.92,Salt Lake County,Office,4,4248,43.0
2664.2400000000002,Salt Lake County,Office,4,1306,43.0
12552.12,Salt Lake County,Office,4,6153,43.0
37286.0,Salt Lake County,Office,5,37286,31.0
7775.11,Salt Lake County,Office,15,3583,40.0
3684.66,Salt Lake County,Office,15,1698,40.0
6199.69,Salt Lake County,Office,15,2857,40.0
17902.5,Salt Lake County,Office,15,8250,40.0
10645.77,Salt Lake County,Office,7,4569,28.0
9364.27,Salt Lake County,Office,7,4019,28.0
15424.6,Salt Lake County,Office,7,6620,28.0
7793.85,Salt Lake County,Office,11,3345,27.0
11650.0,Salt Lake County,Office,11,5000,27.0
5160.95,Salt Lake County,Office,11,2215,27.0
34089.25,Salt Lake County,Office,0,15425,18.0
7544.94,Salt Lake County,Office,0,3414,18.0
11947.26,Salt Lake County,Office,0,5406,18.0
7063.16,Salt Lake County,Office,0,3196,18.0
10000.25,Salt Lake County,Office,0,4525,18.0
19474.85,Salt Lake County,Office,0,7349,18.0
42038.62,Salt Lake County,Office,0,19022,18.0
42038.62,Salt Lake County,Office,0,19022,18.0
16504.03,Salt Lake County,Office,0,7207,18.0
42173.43,Salt Lake County,Office,0,19083,18.0
43030.909999999996,Salt Lake County,Office,0,19471,18.0
42173.43,Salt Lake County,Office,0,19083,18.0
52445.58,Salt Lake County,Office,0,22902,18.0
11450.0,Salt Lake County,Office,0,5000,18.0
9530.0,Salt Lake County,Flex,0,9530,21.0
2948.4,Salt Lake County,Office,1,1820,27.0
7018.0,Salt Lake County,Retail,2,2900,26.0
2596.0,Salt Lake County,Industrial,1,2200,27.0
5016.96,Salt Lake County,Office,5,2613,17.0
10493.84,Salt Lake County,Office,5,5354,17.0
18987.5,Salt Lake County,Office,2,8750,17.0
1591.62,Salt Lake County,Retail,3,647,5.0
2857.5299999999997,Salt Lake County,Office,4,1293,17.0
11814.66,Salt Lake County,Office,4,5346,17.0
12024.0,Salt Lake County,Office,4,7200,16.0
7320.0,Salt Lake County,Office,4,4000,16.0
16445.35,Salt Lake County,Office,4,7649,7.0
4375.0,Salt Lake County,Office,5,2500,21.0
3500.0,Salt Lake County,Office,5,2000,21.0
3500.0,Salt Lake County,Office,5,2000,21.0
499.7,Salt Lake County,Office,1,190,22.0
6009.5,Salt Lake County,Office,1,3434,22.0
1392.3,Salt Lake County,Office,1,1190,49.0
10013.12,Salt Lake County,Office,7,4814,8.0
25941.760000000002,Salt Lake County,Office,7,12472,8.0
51941.76,Salt Lake County,Office,7,24972,8.0
51941.76,Salt Lake County,Office,7,24972,8.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
34814.119999999995,Davis County,Office,0,14386,14.0
11934.0,Wasatch County,Industrial,3,10200,26.0
18468.85,,Medical,1,8065,-1.0
4844.28,,Office,1,1659,0.0
5500.0,Washington County,Industrial,0,5000,2.0
5500.0,Washington County,Industrial,0,5000,2.0
4620.0,Washington County,Industrial,0,4200,0.0
4620.0,Washington County,Industrial,0,4200,0.0
2286.0,Washington County,Industrial,0,1800,14.0
2286.0,Washington County,Industrial,0,1800,14.0
2400.0,Washington County,Industrial,1,2500,27.0
14004.320000000002,Washington County,Retail,3,6424,20.0
7036.700000000001,Washington County,Industrial,5,6397,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6968.500000000001,Washington County,Industrial,5,6335,-1.0
7036.700000000001,Washington County,Industrial,5,6397,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6968.500000000001,Washington County,Industrial,5,6335,-1.0
6300.0,Washington County,Industrial,10,6000,0.0
1440.0,Cache County,Industrial,6,1600,0.0
11381.3,Davis County,Office,7,8015,83.0
5298.0199999999995,Davis County,Office,7,3731,83.0
6323.259999999999,Davis County,Office,7,4453,83.0
1855.9399999999998,Davis County,Office,7,1307,83.0
3587.9999999999995,Davis County,Retail,0,2600,16.0
4416.0,Davis County,Retail,0,3200,16.0
1150.9199999999998,Davis County,Office,1,834,32.0
1290.0,Davis County,Office/Retail,15,1000,48.0
1390.0,Davis County,Office/Retail,15,1000,48.0
1078.48,Davis County,Office,15,884,48.0
1290.0,Davis County,Office/Medical,15,1000,48.0
508.26,Davis County,Office/Medical,15,394,48.0
3648.0,Davis County,Flex,9,1900,5.0
4992.0,Davis County,Office/Medical,9,2600,5.0
4224.0,Davis County,Office/Medical,9,2200,5.0
8702.720000000001,Davis County,Office,1,4184,17.0
3854.2400000000002,Davis County,Office,1,1853,17.0
8394.880000000001,Davis County,Office,1,4036,17.0
17228.16,Davis County,Office,1,8973,17.0
2178.0,Davis County,Office,11,1452,25.0
4353.0,Davis County,Office,11,2902,25.0
2394.0,Utah County,Office,0,1400,17.0
4500.0,Utah County,Industrial,0,3750,30.0
3206.75,Utah County,Industrial,0,2525,6.0
5520.0,Utah County,Industrial,0,4800,6.0
5356.08,Utah County,Office,1,2076,9.0
18002.32,Utah County,Office,1,7259,9.0
10825.2,Utah County,Office,1,4365,9.0
18332.16,Utah County,Office,1,7392,9.0
27887.6,Utah County,Office,1,11245,9.0
16144.8,Utah County,Office,1,6510,9.0
14257.27,Utah County,Office,1,6119,16.0
3474.03,Utah County,Office,1,1491,16.0
23008.75,Utah County,Office,1,9875,16.0
73966.16,Utah County,Office,1,30314,16.0
12929.17,Utah County,Office,1,5549,16.0
25073.13,Utah County,Office,1,10761,16.0
15359.36,Utah County,Office,1,6592,16.0
16258.74,Utah County,Office,1,6978,16.0
61793.93,Utah County,Office,1,26521,16.0
29354.399999999998,Utah County,Flex,1,24462,19.0
3585.6299999999997,Utah County,Office,0,2543,17.0
6192.72,Utah County,Office,2,2867,9.0
4753.0,Utah County,Office,2,2425,16.0
28237.8,Utah County,Industrial,3,29724,2.0
4326.299999999999,Utah County,Office,0,3135,16.0
5921.4,Utah County,Office,0,4170,16.0
11424.0,Utah County,Office,4,5600,6.0
26033.09,Utah County,Office,5,11173,13.0
24533.96,Utah County,Office,5,10138,6.0
10023.64,Utah County,Office,5,4142,6.0
19920.91,Utah County,Office,4,11129,6.0
3512.5,Utah County,Office,4,1405,6.0
27372.8,Utah County,Office,7,13160,8.0
9659.6,Utah County,Office,10,3895,8.0
17220.0,Utah County,Office,10,7000,8.0
990.0,Utah County,Office,5,180,6.0
3564.0000000000005,Utah County,Office,5,1200,6.0
3296.4,Utah County,Office,5,1230,6.0
3806.4,Utah County,Office,5,1464,6.0
1662.72,Cache County,Office,0,866,55.0
4455.5,Cache County,Office,0,3350,9.0
2700.0,Cache County,Industrial,0,3000,9.0
3888.0000000000005,Cache County,Office,0,3600,9.0
7906.2699999999995,Cache County,Office,1,3973,2.0
3263.68,Cache County,Industrial,1,3472,16.0
400.0,Cache County,Industrial,1,5000,0.0
2400.0,Cache County,Office,2,800,44.0
43450.0,Cache County,Industrial,3,55000,31.0
723.0,Cache County,Office/Retail,1,482,95.0
33750.0,Cache County,Industrial,7,37500,0.0
11250.0,Cache County,Industrial,7,12500,0.0
13500.0,Cache County,Industrial,7,15000,0.0
39000.0,Cache County,Industrial,8,60000,22.0
6624.0,Cache County,Retail,0,7200,30.0
3601.44,Cache County,Office/Retail,1,1968,0.0
3660.0,Cache County,Office/Retail,1,2000,0.0
4392.0,Cache County,Office/Retail,1,2400,0.0
1250.01,Cache County,Retail,0,969,18.0
2018.8500000000001,Cache County,Retail,0,1565,18.0
2737.5,Cache County,Retail,26,1825,46.0
3294.0,Cache County,Office/Retail,3,1350,36.0
1205.4,Cache County,Office/Retail,3,820,36.0
1249.5,Cache County,Office/Retail,3,850,36.0
861.0,Cache County,Industrial,2,1148,48.0
636.75,Cache County,Industrial,2,849,51.0
960.75,Cache County,Industrial,2,1281,51.0
6300.0,Cache County,Industrial,2,9000,51.0
4560.0,Cache County,Flex,7,4800,21.0
2160.0,Cache County,Industrial,7,2400,21.0
3337.5,Cache County,Office,1,2225,59.0
475.02,Cache County,Office,0,406,25.0
